text,label,hate_type,dialect,source
@DimaSadek إنتي عم تتخايلي إنو إذا كانوا الحزب و الحركةو طلعتي قدامن  ممكن يصير وجّك خريطة لبنان،تخيالي بس�,hate,gender,levantine,letmi
ههههههه ناطق التخالف أصلا كان شارب بول البعير. @url,hate,race,mixed,mlma
@DimaSadek ما بتقدري الا تكوني زبالة,hate,gender,levantine,letmi
﴿وَقِفوهُم إِنَّهُم مَسئولونَ﴾ [الصافات: ٢٤] واحبسوهم قبل إدخالهم النار للحساب; فهم مسؤولون; ثم بعد ذلك سوقوهم إلى النار. - المختصر في التفسير,not_hate,unknown,jordanian,jhsc
الدول الي بتعتمد باقتصادها ع القطاع العام مثل الشب الي ابوه بعده بصرف عليه,not_hate,unknown,jordanian,jhsc
@DimaSadek قلبك كبير وبيساع كتييير... رخيصه,hate,gender,levantine,letmi
@yumnafawaz لو بتسمعينا سكوتك يا إم نصف لسان.. بعد ناقصنا هيك بضاعة عتلانة همّ النازحين..,hate,gender,levantine,letmi
""""" من الناس الي قلبهم طيب جداً لدرجة العميان احياناً حلو الواحد يكون منيح و قلبو صافي بس مش دايماً بزبط الشخصيه الي تقريباً محبوبه للكل",not_hate,unknown,jordanian,jhsc
@DimaSadek هلق إنت مصدقة حالك إنك ثورية ومناضلة عن جد,hate,gender,levantine,letmi
هو انت يا ابراهيم حمامي لو تنخرس بكون احسن لاهل غزه انت قاعد في لندن وبتنظر من بعيد وبزيد على النار كاز ولك ابادات قاعد بصيرفي غزه ارحموها,not_hate,unknown,jordanian,jhsc
الاقرباء هم من يتمنون فشلنا كي لا يشعرون بالنقص......,not_hate,unknown,jordanian,jhsc
"@DimaSadek تافهة منحطة وبايخة 
#لعبي_عقدك",hate,gender,levantine,letmi
اذا ابي احرق اعصاب احد اقرأ وما ارد .,not_hate,unknown,jordanian,jhsc
@DimaSadek روحي انضبي يا غبية,hate,gender,levantine,letmi
@DimaSadek العالم كلها بدها يا يا كلبة وبدو يضل قاعد على قلبك �,hate,gender,levantine,letmi
نفسي احكي مع حدا بعمق,not_hate,unknown,jordanian,jhsc
@NicoleND22 @DimaSadek معلي بعد السحسوح بترجع تعتذر���صارت معودة,hate,gender,levantine,letmi
ومهما فعلتم فلن يرضى عنكم السيسي ومن معه لئنكم بنظره كالنائحه المستئجره لها دور محدد,not_hate,unknown,jordanian,jhsc
@DimaSadek يا معاقة، إذا الحزب بحد ذاتو طلع بيان آنو ما آلو علاقة بإللي نزلو. من وين بتجيبي اخبارك بس���,hate,gender,levantine,letmi
لا تترك الأب توب مره ثانيه و انت رايح على الحمام,not_hate,unknown,jordanian,jhsc
@user @user لاحظو حجم الأسى الذي سببته السعودية العظمى لإيران وبوقها الإعلامي الخنزيرة.,hate,race,mixed,mlma
"عائلة من بلدة بلعا قضاء طولكرم تفقد 3 من رجالها بفارق ايام متأثرين باصابتهم بفيروس كورونا
",not_hate,unknown,jordanian,jhsc
شعب زباله يتمتع بشرب بول البعير والتداوي بماء الرجال @user,hate,race,mixed,mlma
و إن كتب الله لي الرحيل .. فلا تنسوني من طيب دعاكم,not_hate,unknown,jordanian,jhsc
ضيقة صدر مدري هُموم وتفاكير بس الوكاد الحال يفرح عدوّي ..,not_hate,unknown,jordanian,jhsc
@user @user نحن كامازيغ متوحشين على أساس اننا ناكل الضبان والجراد والجرابيع ونشرب بول البعير ونؤد بن… @url,hate,race,mixed,mlma
"وكان هذا مطرها وليلها .. وكان هذا إكتمال سحرها
",not_hate,unknown,jordanian,jhsc
اه وهو بولع السيجاره,not_hate,unknown,jordanian,jhsc
"ههههه رح ارسب مقدمه الفصل للجاي هاي اول ماده رسبنا فيها.
",not_hate,unknown,jordanian,jhsc
حدثني عن الغباء .. أحدثك عن أحلام . Neeeeeeext ...,not_hate,unknown,jordanian,jhsc
@DimaSadek تاج راسك يا بلا شرف,hate,gender,levantine,letmi
"خرج ترامب من محاكمته منتصرا وهذا ما توقعته في تغريدة لي في شهر نوفمبر .
",not_hate,unknown,jordanian,jhsc
@user @user هههههه حمير ولا ماكان الفرس ركبوكم مسألة وقت يا خنزير لم يبقى الا القليل شوف وين كنتو وين صرت… @url,hate,race,mixed,mlma
@user ملعون ابوك صهيونى خنزير ...ياعبدة الصنم بن سلمان انتم آخر من يتكلم عن المسلمين والعرب ..,hate,race,mixed,mlma
@DimaSadek بيكفي كذب اهلك عايشين عمرهم بين يلي عم بتقولي عم بهددوها وأنت من يوم يومك تافهة وما سمعنا حدا قرب صوبهم.  استحي ع حالك,hate,gender,levantine,letmi
كم أكره المستشفيات,not_hate,unknown,jordanian,jhsc
@yumnafawaz @amanie_geha وهاهاها  هلق كل هالثورة كرمال هيك اه يا هبيله,hate,gender,levantine,letmi
الشعب السعودي يحتفل بشرب بول البعير بمناسبه تاسيس دوله ال سعود اللعينه الذتي تحول فيها شعب عربي… @user,hate,race,mixed,mlma
لما تلفزيون دولة يكون غايب عن خبر مهم مثل هيك ومواطنيها يتحروا الخبر على القنوات الفضائية يجب اقالة وزير الاعلام,not_hate,unknown,jordanian,jhsc
صفارات الانذار الآن تدوي في أرجاء مدينة عمان معلنة عن حالة تأهب بسبب الإنجماد على الطرقات و تنصح المواطنين بإلزام منازلهم.,not_hate,unknown,jordanian,jhsc
"حمى الله خادم الحرمين الشريفين امد الله بعمره بطاعة الرحمن وجعله ذخرا للإسلام والمسلمين واعز الله ملكك
",not_hate,unknown,jordanian,jhsc
شيء رائع. كنت من اشد المعجبين بهذا الفن حيث كان يبث عبر التلفزيون الاردني. والان اتباع حسب وقتي قناة نارت الفضائيه.,not_hate,unknown,jordanian,jhsc
"بهالدنيا السُمر الله خَلقهن .. حط الهَضم كلو في خِلقهن لحتى يزيد في عذابي خَلقهن..... سمرا وما روى عنها الكتاب  غزل بابا الله يرحمه فيي 
",not_hate,unknown,jordanian,jhsc
@yumnafawaz حقارة البعض لا توصف ... الشعب الشجاع الوطني بالشوارع وفي هاك عالم زبالة المجتمع عمال تحكي ... تفو عليكم وعلى عهدكم الخاين العميل,hate,gender,levantine,letmi
@user @user @user يا خنزير  لا  تستعجل.  جايكم الدور  خلينا نربيكم في اليمن ونربي قطر. و… @url,hate,race,mixed,mlma
الهدف ليس إسقاط الحكومة فقط إنما إسقاط النهج ..,not_hate,unknown,jordanian,jhsc
RT @AbbMahdi: @DimaSadek ما في شي اسمو انتصار للثورة الا لما يعلقوك من لسانك بساحة الشهداء #ديما_الواطية,hate,gender,levantine,letmi
بالعادة المتسعودين المسعورين بيستعملوا المنشار تحت تاثير تناول بول البعير..!! @url,hate,race,mixed,mlma
صاحبي المغترب : طمنا عنك كيف وضعك مع انا :,not_hate,unknown,jordanian,jhsc
@DimaSadek رح يقبر قلبك لا تعتلي هم,hate,gender,levantine,letmi
"210208 [ معلومة ] أغنية Eight لآيو بالتعاون مع شوقا تعود لـ Top 10 في مخطط MelOn الأسبوعي وتظل متعادلة مع أغنية Dynamite في المركز الثاني بين الأغاني الأكثر بقاءً ضمن Top 10 فيه ( 24 أسبوع ) 
",not_hate,unknown,jordanian,jhsc
اهاا يلا ريحتي راسك :),not_hate,unknown,jordanian,jhsc
@DimaSadek ولي روحي نضبي عنجد ما اقرفك,hate,gender,levantine,letmi
مستوطنون يهود يختطفون فتى فلسطينيا كان متوجهاً لصلاة الفجر اليوم و يقتلونه و يحرقون جثته قرب مخيم شعفاط في القدس المحتلة,not_hate,unknown,jordanian,jhsc
@alimajed31189 @comment0 @DimaSadek وينك اليوم طلعتي ع طرابلس مبارح ايمتى باقي المناطق يا واطيه.,hate,gender,levantine,letmi
عطاف الطراونه ومجلس النواب غير راضيين عن اداء الحكومه الاقتصادي ويطمح بعدم التعامل كفرديه مع بعض المؤسسات,not_hate,unknown,jordanian,jhsc
@DimaSadek انتي يهوديه مافي شك بوساختك,hate,gender,levantine,letmi
صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,hate,race,mixed,mlma
الصحافة الصهيونية تهاجم ريال مدريد بسبب منعه لدخول اعلامها الى البرنابيو .. شكرا بيريز,not_hate,unknown,jordanian,jhsc
حاب اصورلك المنظر بس حزناً عليها سكتت لاجلك يا عجرمية,not_hate,unknown,jordanian,jhsc
@Jessicaazar برايي خليكي ساكتي احسن.,hate,gender,levantine,letmi
@berrynawal بزقة قليل عليكي  تفة,hate,gender,levantine,letmi
سبب انهيار بورتو غياب لاعبنا دانييلو,not_hate,unknown,jordanian,jhsc
@DimaSadek ليكي في فيديو بيفرجي انو ما قرب عليها اصلا يا دجالة يا عبيطة ولا قرب صوبها ��,hate,gender,levantine,letmi
إعلان سخيف على ال linked in طبعاً بدون تخمين المعلن من الأردن,not_hate,unknown,jordanian,jhsc
اهوا خاسرني گان يحبني بس شسوي جبرني فرقاهه,not_hate,unknown,jordanian,jhsc
"@DimaSadek ماشالله كلكم طلعتوا ممولين و مرتاحين على وضعكم لكن شو بدكم بهيدي الثورة..
و انتي لحتى ما انساكي يلعن شرفك بكعب صرمايتي..",hate,gender,levantine,letmi
@yumnafawaz هلق ضروري انه كل واحد طلع عا الشاشة يكون بيفهم، يقطع عمرك رملاء أفهم منك.,hate,gender,levantine,letmi
@berrynawal نوال بري كلبي و عمبتلعب على ٢ وينو كبير العيلة ولي,hate,gender,levantine,letmi
الأفكار الجيده تحمل ثماراً طيبه ، والأفكارالرديئه تحمل ثماراً فاسده ، والأنسان هو البستاني في حديقة أفكاره .,not_hate,unknown,jordanian,jhsc
وبعز يلي انت فيه رح تلاقي حمار بحسدك,not_hate,unknown,jordanian,jhsc
@DimaSadek بتحبي تضلك عايشي عالبهدلي يا #ديما_الواطيه,hate,gender,levantine,letmi
@yumnafawaz طووووووط انضبي . بوق الفتنة,hate,gender,levantine,letmi
@user @user خنزير نجس اتفووووووو عليه خاين عرص وسخ,hate,race,mixed,mlma
منورة الكون من دوووووون كهرباااااااااااااااااااااااااااااااااااااااااااااااا انتى دوم,not_hate,unknown,jordanian,jhsc
وإن سألُوك يوماً لماذا انتَ حزين ؟ اجبّ بصدقّ قُل لهمَ . . { قليلُ الإستغفار،،هاجِر القُرآنّ } ..!”,not_hate,unknown,jordanian,jhsc
@DimaSadek هيدا كان رد على إستفزازهن وشتم سيد المقاومة يا إم مخطه,hate,gender,levantine,letmi
طبيعة البشر أن يكرهوا بعضهم .. ولكن ليس من حقهم تشويه سمعة من يكرهون .. إذا كرهت إنسانا فلا تشوه سمعته فقد يكون صديقا يوما ما ..,not_hate,unknown,jordanian,jhsc
هاد بدون الفرض و بتتحججي كيف لو مع الفرض :-P,not_hate,unknown,jordanian,jhsc
"بصراحه ما بقدر اتخيل اني بضرب حدا فمشً رح اقدر بالنقطه هاي .. شوف شخص اخر احسن مني
",not_hate,unknown,jordanian,jhsc
@DimaSadek انشالله بتلف البزقة وبتجي بنص خلقتك يا شرشوحة يللا انضبي انحرق كرتك يا قبيضة السفارات,hate,gender,levantine,letmi
@user لعنت الله علي محمد الهاشمي وفيصل القاسم كلهم خنازير قطر واعداء الاسﻻم والمسلمين,hate,race,mixed,mlma
الغرفه الي فيها عتمه كانت عقاب النا واحنا صغار هسا اكتر مكان بنرتاح في,not_hate,unknown,jordanian,jhsc
"ديباي بيمنع اهداف كمان
",not_hate,unknown,jordanian,jhsc
@DimaSadek انزلي انت والكلب جوزك والكلاب الصغار اللي عندك بالبيت حاج تضحي بولاد العالم #ديما_الواطية,hate,gender,levantine,letmi
ليس لدي شك أن تنظيم عيال فطيمة خنازير الخمارات العبرية المتحدة متورطين في #قضية_خاشقجي بريطانيا كشفت الأمر وهددتهم… @url,hate,race,mixed,mlma
@LbciLebanon @DimaSadek ديما بلا تحيتك من طرابلس تقدمي للجنوب وزوريهم بالمستشفيات وشوفي شعبيتك اديش كبيره .. اذا ما… https://t.co/r1FUlTnG9j,hate,gender,levantine,letmi
"استمرار حملة التطعيم ضد فيروس كورونا للفرق الطبية في محافظة خان يونس جنوب قطاع غزة
",not_hate,unknown,jordanian,jhsc
@DimaSadek روحي نضبي بقا و ستحي على حالك يا حاقودي حرريه من سامي و جعجع ملوك حرب الاهليه و العملاء,hate,gender,levantine,letmi
"@DimaSadek ريتو قارطقك ياها بنيعك ما تعرفي راسك من كعب جريك
#ديما_الواطية",hate,gender,levantine,letmi
@DimaSadek ديما صادق انت بهيمة بكل معنى الكلمة، لأنك لاتعقلين. إنت من فئة الأنعام بل إنك أضل سبيلاً.  هل تعتبرين نف… https://t.co/zMURJwxNpq,hate,gender,levantine,letmi
"رحمهم الله و الخزي والعار للجبناء
",not_hate,unknown,jordanian,jhsc
@DimaSadek عميلة اسرائيلية,hate,gender,levantine,letmi
@DimaSadek انتي أوطى من البزقة ع الأرض ��,hate,gender,levantine,letmi
وجيههم مغسوله بمرق خنازير وعادي عندهم,hate,race,mixed,mlma
"@yumnafawaz غليظة والله 
خلص خففي شوي",hate,gender,levantine,letmi
رح يصيبني سرطان جلد قد ما بكتب غش عايدي....بس المشكله عالفاضي.,not_hate,unknown,jordanian,jhsc
@DimaSadek @alislim124 الله يرض عليك على الصبح الي متل خليتك .. يا اختي مين ما كان اكون.. بلا فتنة و انضبي,hate,gender,levantine,letmi
@yumnafawaz عون تاج لبنان. وكرامته من كرامة لبنان. روحي على بيتك انضبي  وبلا فلسفة,hate,gender,levantine,letmi
@NicoleHajal انضبي ما رح تقدروا تعملوا فتنة مع السيد لا الموت موتى بغيظك خليكي مع زعميك المجرم,hate,gender,levantine,letmi
@REA361291 @DimaSadek وحدة وطنحية(عاملة حالها بتحب الوطن) وزوجها تخلى عن الجنسية اللبنانية. تفه على شرفك وشرفه.,hate,gender,levantine,letmi
مما سرقت لكم,not_hate,unknown,jordanian,jhsc
@yumnafawaz انت مكعب غباء حاقد. لو شو ما حكي السيد ما بدك تفهمي عليه هاي جماهير حاقنة وساكتة صرلها زمان من الشتائم… https://t.co/YzEpV85WM5,hate,gender,levantine,letmi
@DimaSadek اخسئي يا #شلكة_وسام_الحسن,hate,gender,levantine,letmi
@yumnafawaz ولا يهمك لانو بجل الديب الناس هونيك تهتف ارهابي ارهابي نصر الله ارهابي هههههههههه المصيبة انك بعينين وما تستخدمي الا وحدة هههههه,hate,gender,levantine,letmi
"احتفظ بإبتسامتك بعيداً عن بؤس العالم وقذارته... تستحق السعاده فلا تعبس، اعتنِ بنفسك جيداً ، لا تجعل أحداً يؤثر على مسار حياتك، قراراتك، علاقاتك،قناعاتك أو حتى مزاجك، كن كما تحب... كن كما تريدُ أنت ....
",not_hate,unknown,jordanian,jhsc
"RT @AmerAttieh1: كل التحية الك عادل ولضيوفك وخصوصي  ويلي عم يتعدوا عليكي بلا اخلا وبلا ضمير @yumnafawaz
 #بيت_الكل",hate,gender,levantine,letmi
"خلينا كدا على طول ماشيين مرامانا الهوا ونعشنا والي شبكنا يخلصنا
",not_hate,unknown,jordanian,jhsc
سبحان الله هيني بسمعها بنت عمان - بلوز و بنطلون,not_hate,unknown,jordanian,jhsc
@DimaSadek الله يقصف عمرك انت الله لا يسامحك اديشك خبيثة,hate,gender,levantine,letmi
@DimaSadek بعتقد  عم يحكي باسم لبنان يا هبلة !,hate,gender,levantine,letmi
"وزارة الصحة 10 وفيات و1701 إصابة جديدة بفيروس كورونا ليرتفع الإجمالي إلى 229 وفاة و35432 إصابة
",not_hate,unknown,jordanian,jhsc
@DimaSadek انشالله بتفوتي عالمستشفى وما بتلاقي متبرع يا منافقة,hate,gender,levantine,letmi
@DimaSadek لك انتي اغبى واوسخ المخلوقات...,hate,gender,levantine,letmi
عبيد حاله خاصه من اهل الكهف عادي,not_hate,unknown,jordanian,jhsc
لأنكم بلد دعارة الكل يحبكم لكن كم ستصمدون يا شاربي بول البعير @url,hate,race,mixed,mlma
@DimaSadek وحده واطيه بلا شرف,hate,gender,levantine,letmi
شو رأيك بالنسبه لمهرجان البيجاما ؟؟؟شعب فاضي أشغال,not_hate,unknown,jordanian,jhsc
يلعن ولا بلاش يا اوباش,not_hate,unknown,jordanian,jhsc
صابك غرور والغرور لما يصيب مشكله ....,not_hate,unknown,jordanian,jhsc
@yumnafawaz شفتي التاريخ دخلك يا جاهلة ؟,hate,gender,levantine,letmi
"اللهم إني عبدك و ابن عبدك وابن أمتك ناصيتي بيدك، ماضٍّ فيّ حكمك عدلٌ فيّ قضاؤك، أسألك بكل اسم هو لك سمّيت به نفسك أو أنزلته في كتابك، أو علّمته أحد من خلقك، أو استأثرت به في علم الغيب في علم الغيب عندك، أن تجعل القرآن العظيم ربيع قلبي، ونور بصري، وسعة صدري وجلاء حزني وهمي. 
",not_hate,unknown,jordanian,jhsc
@DimaSadek يا واطية و يا احقر الناس انت ! تفه عليكي و عليها #ديما_الواطية,hate,gender,levantine,letmi
@user @user الطم و الي شرف!  و انت روح اشرب بول البعير و ارضع من ..... و لا بلاش,hate,race,mixed,mlma
حتى المواعيد كذابين فيها النيه تطبيق الاسعار بوافق ٢/١,not_hate,unknown,jordanian,jhsc
@DimaSadek سيدك وتاج راسك يا حيوانة,hate,gender,levantine,letmi
: : هلا بصقور الملعب هلا بالعرباويه  : اشتقنا ي الزعيم والله اشتقنا…,not_hate,unknown,jordanian,jhsc
@dianamoukalled @DimaSadek اذا انت بشعه لا يحق لك التعليق على الحسناوات بكلامك السخيف,hate,gender,levantine,letmi
@yumnafawaz انتي لا شكل ولا مضمون ولا نفسية وتافهة كمان,hate,gender,levantine,letmi
لاتلعب بنار يامجوسي مع سني بتحرء أصابيعك خزها عبرة ياأبن لمتعة ليمازة لخميني لعنة الله سرهو في جنازتهي وكل من شهادة… @user,hate,race,mixed,mlma
"الكل بدو ياخذ اللقاح خاوة مع مرور الاشهر لا بتركب باص ولا بتدخل مطعم ولا بتمشيلك معاملة غير لما يشوفوا منك ... عقولة الهياجنة من الآخر الكل بدو ياخذوا
",not_hate,unknown,jordanian,jhsc
قبل اربع اشهر كان الي بده يفتح معي موضوع يجيبلي معه سندويشه اكلها بعدين ابلش اسولف معه,not_hate,unknown,jordanian,jhsc
"حرام عليك يا صاحبي شكلك مش كاين تدرس أنا درست واجتهدت وتعبت عحالي وتجميعي ٣٣ 
",not_hate,unknown,jordanian,jhsc
الحوثي عميل نجس وسخ نذل خنزير إيران  #الحديدة_تنتصر,hate,race,mixed,mlma
٩٠ عاما من الشرف.,not_hate,unknown,jordanian,jhsc
@DimaSadek عما بقلبك شو حقيرة,hate,gender,levantine,letmi
"@DimaSadek العميلة
#ديما_الواطية",hate,gender,levantine,letmi
@DimaSadek لمّا قلت عنّك جحشة ما غلطت و حمارة كمان,hate,gender,levantine,letmi
يعني طلع اصله عربي,not_hate,unknown,jordanian,jhsc
"انا بحب فترة الصبح وقهوة الصبح ونشاط الصبح ومنظر الشمس الصبح بس يلي ناقص اني اصحى الصبح 
",not_hate,unknown,jordanian,jhsc
في المواقف هاي بتحس إنه رح ينزل عليهم عقاب فوري من السما، بس ان شالله لأ لإنك هناك :),not_hate,unknown,jordanian,jhsc
من التعب اخاف انام وماقوم الا صار يوم السبت,not_hate,unknown,jordanian,jhsc
“ يارب ! وإن نامت أجزائي تحت التراب وكنت نسيآ منسيآ هب لي من يدعو لي دائمآ دون ملل !!! ”,not_hate,unknown,jordanian,jhsc
 ناجح!!!! لعاد لا تخاف زابطة أمورك حتى بدون بحث  لو غششوني بجيب كامل ,not_hate,unknown,jordanian,jhsc
والله حرام هذااا دكه والمعيوف اساسي,not_hate,unknown,jordanian,jhsc
كوس اوختك واوخت اسلامك.اخ الشرموطه,not_hate,unknown,jordanian,jhsc
@DimaSadek حبيت صبح عليكي دمدوم بونجور  خلي زوجك يشوفهم بلكي بيتعلم الرجوله شوي وبضبك حاجتك فلتانه شفناكي مبارك من… https://t.co/GngBKjnqeq,hate,gender,levantine,letmi
@DimaSadek يا اعلامية ياحقيرة لو ما عملو خمس ايار ما كان في سبع ايار خرسي يا وسخة,hate,gender,levantine,letmi
#نانسي السبع قذارة الاعلام,hate,gender,levantine,letmi
@DimaSadek يلعن صباحك وصباح ثورتك. قال ثورة قال �,hate,gender,levantine,letmi
الشيخه الروحانيه ام احمد لفك السحروتسهيل الزواج وعلاج التابعه والعقم لاجل الخلفه بأذن الله لتواصل على هذاالرقم٠٠٩٦٢٧٧٩٧٨٥٠٥٨,not_hate,unknown,jordanian,jhsc
"علينا من الدنيا ضغوطٍ تهدّ الحيل فلا تحسب إن الله خلقنا على شانك
",not_hate,unknown,jordanian,jhsc
@user هذا العمليه الإجراميه الإرهابيه برعايتكم يا دموييين يا انجاس تسوون فتنه بين المسيحيين الأقباط والمسلمين ل… @url,hate,race,mixed,mlma
@berrynawal مجدوبه وماشيه يا نوال,hate,gender,levantine,letmi
في الكرك حيث أتشرف بتقديم تدريب لمدة أربعة أيام لمجموعة من القيادات الشبابية في المدينة حول إطلاق المشاريع الريادية والإبتكارية ضمن مشروع بداية بالشراكة مع مؤسسة TTI و Spark.,not_hate,unknown,jordanian,jhsc
@DimaSadek رح تموتي قد مافي جواتك سم,hate,gender,levantine,letmi
""" “في خدودك ورود وفي عيونك كسل وفي وصالك برود وفي يدينك دفا وفي زفيرك عبير وفي شفاهك عسل وفي كلامك حياه وفي سكوتك جفا”""",not_hate,unknown,jordanian,jhsc
@DimaSadek يعني لو حضرتيك من الشعب كنتي شريفة .. خلص ما بدنا اياكي بالشعب خليكي بلا شرف يا... ديما الواطية...,hate,gender,levantine,letmi
اكيد مظلومه ونعملت عليها مؤامره خطيره وكبيره,not_hate,unknown,jordanian,jhsc
@yumnafawaz @General_Aoun هو فوق عم يحلق بالكرامة وانت تحت الصرماية يا جرثومة,hate,gender,levantine,letmi
وتسألني كيف انت؟ فأجيبك:مريض بك وكل من يمر بي يصاب بعدوى,not_hate,unknown,jordanian,jhsc
يقول احد القضاة : لم تصلني قضية لفتاة تعق والديها بل كلهم ابناء ذكور؛ ومع هذا إلى الآن يوجد من يحزن إذا رُزق بَ فتاه !,not_hate,unknown,jordanian,jhsc
@DimaSadek انتي اخرسي واعزمي سياسيي السلطة عندك بالبيت عل عشاء.انتي يا فاسدة اولون كلون يعني كلون وانتي اولون اخرسي ما بدي اسمع صوتك,hate,gender,levantine,letmi
توقيع على الورق بدون انشاء كله سلخ حكي كذب,not_hate,unknown,jordanian,jhsc
@DimaSadek اصمتي يا عاهرة المال,hate,gender,levantine,letmi
وكالة الأناضول للأنباء/ | الشرطة الإسرائيلية: إصابة 3 بجروح متفاوتة في إطلاق صواري ... - عبر تطبيق نبض,not_hate,unknown,jordanian,jhsc
يزم اذا ابوي اقتنع بالحكي هاظ زمان وانا بدرس رح حطني مدير مدرسه  زمان اقتنع الهندسه علفاضي,not_hate,unknown,jordanian,jhsc
الي سنة بكتب فيك قصائد .. و العبس يا عبسي و غيرها من الابيات بعرض الحسناوات يزم,not_hate,unknown,jordanian,jhsc
@DimaSadek انشالله بيقبرك إنتي وعيلتك�,hate,gender,levantine,letmi
الحمد لله حمدا كثيراً طيباً مباركاً فيه كما ينبغي لجلال وجهك وعظيم سلطانك,not_hate,unknown,jordanian,jhsc
فارس بحكي اكبر مسبة حكاها يا حمار,not_hate,unknown,jordanian,jhsc
بتعوّذ من بعض ناس اكتر من ابليس,not_hate,unknown,jordanian,jhsc
لا واذا موعاجبك في صوره اقوى بالف مره من هذه مع ايران على شان يعرفون انهم صفر على الشمال,not_hate,unknown,jordanian,jhsc
"كنت باكل هريسه الواضح مش مجاوبه 
",not_hate,unknown,jordanian,jhsc
"كنت عندكم من اسبوع 
",not_hate,unknown,jordanian,jhsc
"و مشاعري !نفسيتي تعبانه كانت خير ان شاء الله
",not_hate,unknown,jordanian,jhsc
- جيفارا ؛ نفسي انسخ مخه و اصير اتثقف منه. انسان فريد.,not_hate,unknown,jordanian,jhsc
@DimaSadek بس يا هبلة،  انت بدك مين يشرحلك يا مخ الحمار،  هو قال لا أؤيد استقالة الحكومة،  بس عن العهد قال لن يسقط،  فهمتي أو بعيد يا بغلة,hate,gender,levantine,letmi
